date	kowj	lien
20140930	22536	30003
20140929	23347	29664
20140928	22807	28968
20140927	22839	28215
20140926	23021	26554
20140925	23485	25656
20140924	22553	25544
20140923	22091	25979
20140922	21708	25942
20140921	21053	25616
20140920	19803	24585
20140919	18072	23576
20140918	14400	22012
20140917	12094	20837
20140916	11262	20088
20140915	10528	18466
20140914	9307	16766
20140913	8988	18557
20140912	7809	17891
20140911	7473	17070
20140910	7455	16267
20140909	7946	15543
20140908	7695	15178
20140907	7790	15268
20140906	8099	15652
20140905	8293	17112
20140904	8258	15999
20140903	7629	16214
20140902	7767	18631
20140901	9123	20623
20140830	9692	19495
20140829	10152	19979
20140828	10565	20067
20140827	10884	20306
20140826	11317	20911
20140825	11681	22431
20140824	11618	22469
20140823	13688	24242
20140822	13597	25737
20140821	13402	29800
20140820	13615	32196
20140819	13636	31982
20140818	12442	34754
20140817	11667	34585
20140816	11149	33192
20140815	10874	31824
20140814	10673	30235
20140813	10222	28401
20140812	9834	25618
20140811	9708	24163
20140810	7569	20898
20140809	7396	17092
20140808	7158	12661
20140807	6695	9116
20140806	6152	6865
20140805	5881	2037
20140804	5548	710
20140803	5789	686
20140802	5788	1178
20140801	5431	1722
20140731	4761	1717
20140730	4571	1694
20140729	4391	1679
20140728	4190	1552
20140727	4222	1523
20140726	4863	1616
20140725	4853	1625
20140724	5108	1632
20140723	5180	1712
20140722	5231	1750
20140721	5118	1766
20140720	4867	1212
20140719	4780	592
20140718	4866	637
20140717	4918	666
20140716	4914	650
20140715	4949	606
20140714	5003	579
20140713	4409	470
20140712	4512	451
20140711	4215	416
20140710	3886	361
20140709	3417	333
20140708	3066	314
20140707	2963	339
20140706	2928	333
20140705	2880	262
20140704	2709	224
20140703	2456	94
20140702	3636	117
20140701	3455	113
20140630	3441	128
20140629	3503	135
20140628	3878	182
20140627	4297	190
20140626	5518	185
20140625	6417	171
20140624	7367	150
20140623	9074	171
20140622	9753	145
20140621	11510	143
20140620	12110	225
20140619	10944	195
20140618	10901	200
20140617	10904	173
20140616	10970	159
20140615	11137	125
20140614	10948	102
20140613	9875	80
20140612	9820	78
20140611	9047	74
20140610	7247	52
20140609	6471	52
20140608	4593	30
20140607	3988	20
20140606	3716	23
20140605	3653	137
20140604	3507	495
20140603	3221	670
20140602	2701	930
20140601	2495	1118
20140531	2416	1342
20140530	1731	1588
20140529	1760	1814
20140528	2175	2085
20140527	3272	2300
20140526	3506	2559
20140525	3492	3065
20140524	4005	3554
20140523	7281	4230
20140522	7236	4363
20140521	7270	4801
20140520	7254	5124
20140519	7213	4940
20140518	7266	4758
20140517	7270	4542
20140516	7000	4312
20140515	6622	4040
20140514	5484	3827
20140513	5289	3594
20140512	5505	4445
20140511	5414	4348
20140510	2505	3511
20140509	3165	3033
20140508	3161	3571
20140507	3533	4626
20140506	4706	6209
20140505	4615	8102
20140504	0	0
20140503	0	0
20140502	0	0
20140501	0	0
20140430	0	0
20140429	0	0
20140428	0	0
20140427	0	0
20140426	0	0
20140425	0	0
20140424	0	0
20140423	0	0
20140422	0	0
