date	kowj	lien
20140422	52	217
20140423	64	75
20140424	288	39
20140425	88	240
20140426	81	109
20140427	240	78
20140428	103	49
20140429	114	61
20140430	50	31
20140501	50	22
20140502	84	25
20140503	26	10
20140504	109	263
20140505	154	405
20140506	167	276
20140507	180	71
20140508	47	52
20140509	31	27
20140510	153	114
20140511	207	80
20140512	63	27
20140513	1	99
20140514	564	89
20140515	151	28
20140516	53	30
20140517	113	101
20140518	121	29
20140519	28	31
20140520	79	42
20140521	180	157
20140522	61	61
20140523	104	27
20140524	122	9
20140525	31	8
20140526	229	11
20140527	112	19
20140528	75	41
20140529	56	171
20140530	210	144
20140531	91	39
20140601	278	109
20140602	491	193
20140603	230	78
20140604	196	32
20140605	44	22
20140606	121	10
20140607	65	214
20140608	606	77
20140609	445	97
20140610	617	180
20140611	566	59
20140612	292	61
20140613	913	39
20140614	157	46
20140615	74	41
20140616	73	48
20140617	104	54
20140618	71	206
20140619	380	290
20140620	286	413
20140621	249	236
20140622	164	113
20140623	166	95
20140624	107	116
20140625	112	81
20140626	172	105
20140627	48	105
20140628	52	166
20140629	121	41
20140630	55	58
20140701	276	48
20140702	153	295
20140703	494	341
20140704	563	345
20140705	71	189
20140706	137	150
20140707	112	181
20140708	378	262
20140709	228	198
20140710	210	174
20140711	71	105
20140712	186	272
20140713	396	340
20140714	229	181
20140715	323	84
20140716	205	155
20140717	171	122
20140718	390	286
20140719	154	192
20140720	106	111
20140721	182	245
20140722	335	125
20140723	319	297
20140724	61	109
20140725	171	68
20140726	199	267
20140727	171	291
20140728	134	358
20140729	70	192
20140730	387	661
20140731	777	370
20140801	362	651
20140802	223	578
20140803	73	372
20140804	228	245
20140805	178	446
20140806	109	632
20140807	116	483
20140808	126	742
20140809	247	578
20140810	229	673
20140811	229	539
20140812	240	1527
20140813	220	808
20140814	256	766
20140815	340	382
20140816	250	734
20140817	176	452
20140818	172	862
20140819	133	363
20140820	204	593
20140821	150	426
20140822	177	473
20140823	191	515
20140824	244	817
20140825	311	817
20140826	306	712
20140827	417	613
20140828	212	560
20140829	280	664
20140830	258	638
20140901	355	347
20140902	385	670
20140903	555	706
20140904	245	926
20140905	171	782
20140906	233	417
20140907	1432	870
20140908	496	391
20140909	726	760
20140910	347	861
20140911	579	919
20140912	1013	904
20140913	1090	248
20140914	884	1048
20140915	0	675
20140916	482	1025
20140917	1625	1503
20140918	885	1668
20140919	910	1590
20140920	806	1128
20140921	419	1470
20140922	549	1773
20140923	542	1274
20140924	1060	1084
20140925	809	1212
20140926	885	1158
20140927	127	128
20140928	0	92
20140929	761	1127
20140930	0	0
