date	kowj	lien
20140422	3448	1153
20140423	2686	153
20140424	16357	76
20140425	3385	6311
20140426	7443	1952
20140427	14730	691
20140428	7373	107
20140429	9046	74
20140430	1030	42
20140501	3887	39
20140502	3264	16
20140503	524	9
20140504	4788	5448
20140505	8633	4440
20140506	11813	3869
20140507	12339	491
20140508	1691	101
20140509	213	62
20140510	13794	3765
20140511	16498	1271
20140512	5504	157
20140513	196	2085
20140514	18473	1314
20140515	4230	64
20140516	615	124
20140517	7075	2744
20140518	6161	459
20140519	1465	81
20140520	6395	23
20140521	9574	2864
20140522	1275	785
20140523	6739	67
20140524	4958	19
20140525	889	13
20140526	13950	27
20140527	4924	54
20140528	3289	2157
20140529	2341	4344
20140530	6637	4071
20140531	3897	293
20140601	15117	2337
20140602	18396	6906
20140603	9973	3076
20140604	12588	410
20140605	1517	53
20140606	4277	21
20140607	764	3696
20140608	20380	830
20140609	18993	187
20140610	26734	3098
20140611	19446	367
20140612	12936	1732
20140613	24606	216
20140614	3346	74
20140615	866	108
20140616	525	64
20140617	3658	45
20140618	1686	2571
20140619	20465	5571
20140620	12016	3395
20140621	10101	4494
20140622	3200	2828
20140623	3818	1429
20140624	1810	1926
20140625	3073	994
20140626	5226	1743
20140627	558	845
20140628	3681	3122
20140629	6438	623
20140630	1662	93
20140701	12968	82
20140702	5410	3724
20140703	23216	2990
20140704	14817	3172
20140705	2043	1629
20140706	7644	2361
20140707	4285	912
20140708	15988	3073
20140709	6992	1148
20140710	7927	162
20140711	2926	58
20140712	7857	1612
20140713	30258	3328
20140714	14299	1661
20140715	10011	215
20140716	8094	127
20140717	4725	116
20140718	15016	3843
20140719	3332	826
20140720	7769	447
20140721	14317	2665
20140722	16161	975
20140723	11885	5519
20140724	2244	1677
20140725	7074	377
20140726	4994	3033
20140727	4491	2581
20140728	4824	2520
20140729	1078	1089
20140730	16309	7940
20140731	24958	2361
20140801	21009	4754
20140802	12155	651
20140803	3045	190
20140804	10518	1386
20140805	8920	4081
20140806	1998	9128
20140807	3064	6628
20140808	4296	6845
20140809	10495	7875
20140810	9275	8262
20140811	9613	5610
20140812	11654	17415
20140813	7421	13154
20140814	8679	10660
20140815	14175	2608
20140816	8239	10645
20140817	4433	4053
20140818	4633	-190908
20140819	3493	139913
20140820	9034	10773
20140821	4692	7567
20140822	6898	38528
20140823	7881	22140
20140824	8985	33272
20140825	10933	16466
20140826	11787	12472
20140827	18446	11647
20140828	5131	8793
20140829	9085	14177
20140830	10149	13762
20140901	15227	5845
20140902	13332	11372
20140903	22973	19972
20140904	10215	21832
20140905	4332	20233
20140906	9189	9187
20140907	29468	20803
20140908	7401	10940
20140909	16984	16597
20140910	6920	12929
20140911	10821	11283
20140912	25328	10301
20140913	31829	3968
20140914	23300	10648
20140915	0	9599
20140916	15250	11820
20140917	44711	16114
20140918	36965	14561
20140919	36487	8536
20140920	35828	7102
20140921	12188	8940
20140922	18593	17211
20140923	26213	10466
20140924	38749	9231
20140925	23482	14361
20140926	37422	19693
20140927	6107	3517
20140928	0	1844
20140929	30786	6977
20140930	0	0
