date	kowj	lien
20140422	2077	8053
20140423	1471	2942
20140424	28269	2170
20140425	6627	7639
20140426	1428	2204
20140427	17911	2299
20140428	4905	356
20140429	12652	609
20140430	6771	1653
20140501	883	64
20140502	4565	67
20140503	2863	47
20140504	2576	2850
20140505	3068	3774
20140506	3612	6557
20140507	7742	2389
20140508	7723	882
20140509	816	719
20140510	180	537
20140511	15951	5310
20140512	15949	1091
20140513	1967	2349
20140514	7774	1928
20140515	21252	410
20140516	3517	334
20140517	1093	1235
20140518	6984	2325
20140519	1335	471
20140520	531	260
20140521	6175	290
20140522	7475	3642
20140523	5773	801
20140524	3129	188
20140525	747	33
20140526	242	28
20140527	339	29
20140528	5314	37
20140529	2956	3803
20140530	647	3035
20140531	8864	1185
20140601	8060	141
20140602	9099	4707
20140603	15549	4408
20140604	14329	1514
20140605	9505	154
20140606	3798	2242
20140607	2697	1191
20140608	8049	4313
20140609	22843	519
20140610	20819	1933
20140611	30862	1875
20140612	21988	1188
20140613	13899	811
20140614	27625	161
20140615	2404	78
20140616	1092	78
20140617	669	97
20140618	735	81
20140619	388	3815
20140620	30771	3689
20140621	6529	2699
20140622	5058	3365
20140623	1289	3025
20140624	3339	853
20140625	3075	2848
20140626	5572	516
20140627	2137	2301
20140628	446	426
20140629	4525	3397
20140630	7354	361
20140701	10526	102
20140702	5972	76
20140703	14878	4958
20140704	21303	3353
20140705	6377	3508
20140706	1163	774
20140707	10723	2898
20140708	13452	477
20140709	9411	3811
20140710	5522	1566
20140711	10407	658
20140712	1560	283
20140713	5974	2500
20140714	27158	3958
20140715	6050	1026
20140716	11784	291
20140717	8853	263
20140718	5220	149
20140719	9458	4567
20140720	1907	1575
20140721	13407	984
20140722	11679	3434
20140723	16000	4081
20140724	11668	5718
20140725	1460	903
20140726	7109	262
20140727	5259	3931
20140728	5612	2172
20140729	3715	3329
20140730	12308	3985
20140731	15970	4193
20140801	24539	4806
20140802	8872	1887
20140803	12983	784
20140804	2285	361
20140805	14093	3553
20140806	7635	9230
20140807	1985	8400
20140808	3714	9931
20140809	5339	8032
20140810	11252	11226
20140811	11321	10816
20140812	11691	6946
20140813	13560	15824
20140814	7241	8891
20140815	8956	9984
20140816	14304	2986
20140817	7075	5015
20140818	6322	5990
20140819	6243	13013
20140820	4141	7437
20140821	8115	9920
20140822	6691	6745
20140823	8021	5287
20140824	5608	10101
20140825	10013	14829
20140826	12957	10345
20140827	18334	11978
20140828	10740	9960
20140829	5509	7631
20140830	10197	10472
20140901	12359	13689
20140902	11599	6775
20140903	14268	9412
20140904	19903	12925
20140905	12794	13131
20140906	6053	11461
20140907	11038	8361
20140908	23988	12170
20140909	12201	10952
20140910	15096	12997
20140911	7675	12139
20140912	8767	10792
20140913	30991	8414
20140914	27860	6493
20140915	25315	7871
20140916	20795	10559
20140917	17684	9609
20140918	40815	11384
20140919	55212	13979
20140920	28538	10492
20140921	31796	9011
20140922	20349	10418
20140923	16878	14150
20140924	19449	10957
20140925	26558	10844
20140926	24096	12328
20140927	37441	18235
20140928	42605	21076
20140929	32606	16076
20140930	28794	10668
