date	kowj	lien
20140422	12	5
20140423	40	4
20140424	1857	1
20140425	286	38
20140426	79	5
20140427	802	3
20140428	333	13
20140429	343	1
20140430	79	2
20140501	51	2
20140502	74	0
20140503	18	0
20140504	72	47
20140505	131	81
20140506	146	64
20140507	218	9
20140508	38	1
20140509	2	3
20140510	213	21
20140511	301	19
20140512	169	4
20140513	6	33
20140514	2193	15
20140515	653	3
20140516	113	4
20140517	339	28
20140518	130	5
20140519	30	4
20140520	121	0
20140521	168	39
20140522	40	10
20140523	346	-3
20140524	45	2
20140525	14	-4
20140526	192	0
20140527	226	4
20140528	77	15
20140529	8	50
20140530	603	26
20140531	163	2
20140601	368	75
20140602	1139	107
20140603	489	31
20140604	959	2
20140605	121	0
20140606	382	31
20140607	75	51
20140608	1349	12
20140609	1245	-7
20140610	1571	38
20140611	1438	6
20140612	727	28
20140613	781	4
20140614	92	0
20140615	26	0
20140616	14	6
20140617	45	3
20140618	22	25
20140619	486	61
20140620	219	11
20140621	178	38
20140622	84	29
20140623	62	26
20140624	19	25
20140625	34	13
20140626	141	4
20140627	6	13
20140628	47	20
20140629	197	4
20140630	67	1
20140701	442	1
20140702	110	31
20140703	1038	34
20140704	505	12
20140705	45	22
20140706	140	15
20140707	140	5
20140708	617	23
20140709	438	41
20140710	282	43
20140711	56	9
20140712	222	26
20140713	647	51
20140714	240	43
20140715	279	5
20140716	183	4
20140717	91	4
20140718	359	147
20140719	84	52
20140720	98	8
20140721	616	33
20140722	729	48
20140723	366	38
20140724	68	8
20140725	255	3
20140726	208	23
20140727	161	57
20140728	104	53
20140729	19	27
20140730	769	89
20140731	1011	83
20140801	547	58
20140802	391	17
20140803	99	5
20140804	495	31
20140805	369	29
20140806	94	144
20140807	57	96
20140808	147	80
20140809	347	107
20140810	294	121
20140811	245	105
20140812	279	251
20140813	176	161
20140814	215	86
20140815	400	52
20140816	342	25
20140817	159	36
20140818	204	310
20140819	201	73
20140820	395	195
20140821	198	65
20140822	198	52
20140823	309	55
20140824	274	146
20140825	237	130
20140826	411	140
20140827	937	96
20140828	189	99
20140829	331	157
20140830	218	162
20140901	460	67
20140902	397	205
20140903	562	111
20140904	337	213
20140905	161	148
20140906	201	68
20140907	1046	156
20140908	762	70
20140909	431	129
20140910	155	238
20140911	534	142
20140912	3078	97
20140913	1797	41
20140914	1077	94
20140915	0	22
20140916	328	89
20140917	5155	145
20140918	2142	133
20140919	1220	100
20140920	1592	56
20140921	642	73
20140922	833	117
20140923	961	109
20140924	1195	83
20140925	1194	133
20140926	1312	123
20140927	247	18
20140928	0	18
20140929	1206	57
20140930	0	0
