date	kowj	lien
20140420	12996	41492
20140421	15941	35484
20140422	16467	33847
20140423	16970	34983
20140424	39728	33999
20140425	43863	34903
20140426	44507	32576
20140427	51201	24054
20140428	51553	21489
20140429	56805	16515
20140430	59103	15398
20140501	39712	13349
20140502	36367	7049
20140503	36311	5047
20140504	25963	5533
20140505	23830	8963
20140506	16437	12705
20140507	16296	12268
20140508	19210	12976
20140509	18132	13606
20140510	17267	14081
20140511	26923	15219
20140512	33881	13887
20140513	34149	10930
20140514	35624	10664
20140515	46448	10383
20140516	48794	10148
20140517	49563	10334
20140518	43781	8071
20140519	35385	7605
20140520	34504	6269
20140521	32909	5213
20140522	20932	7480
20140523	21283	7883
20140524	22376	7196
20140525	19329	5539
20140526	18701	5171
20140527	18623	4960
20140528	18523	4720
20140529	15195	4760
20140530	11405	5651
20140531	15507	6060
20140601	19778	6131
20140602	24640	8626
20140603	33561	10362
20140604	38663	10843
20140605	42729	9729
20140606	43743	10902
20140607	41428	11652
20140608	42493	13677
20140609	53224	11824
20140610	57122	10221
20140611	68247	10598
20140612	74840	10921
20140613	79551	8995
20140614	91216	7935
20140615	90248	5384
20140616	79813	5095
20140617	71147	3839
20140618	54337	2429
20140619	41158	4701
20140620	55023	6365
20140621	39764	7249
20140622	40364	8460
20140623	40397	9450
20140624	40829	9935
20140625	41277	10873
20140626	42809	9875
20140627	19538	8989
20140628	14962	8336
20140629	14083	8380
20140630	17575	7358
20140701	23651	6866
20140702	27070	5541
20140703	33586	8183
20140704	45103	8923
20140705	48376	10052
20140706	47836	9122
20140707	49111	9814
20140708	50453	9986
20140709	52436	11264
20140710	48312	10357
20140711	40685	9730
20140712	38023	8366
20140713	39627	8885
20140714	50568	9690
20140715	47294	10098
20140716	46804	8409
20140717	47345	7264
20140718	45203	6779
20140719	47188	9114
20140720	46226	9573
20140721	36711	8235
20140722	39854	9055
20140723	43571	10589
20140724	45773	13260
20140725	44725	13623
20140726	43475	11867
20140727	44616	12133
20140728	39987	12331
20140729	35051	12472
20140730	31210	12313
20140731	34202	10765
20140801	47647	12451
20140802	51362	13269
20140803	55250	12545
20140804	55315	11949
20140805	60775	12898
20140806	59572	17870
20140807	53249	20435
20140808	39405	23453
20140809	35646	28057
20140810	34013	33116
20140811	39166	38757
20140812	36905	40848
20140813	40379	44499
20140814	42669	44975
20140815	45384	43994
20140816	50131	41669
20140817	48146	38801
20140818	45653	36521
20140819	43200	39361
20140820	37489	34846
20140821	37102	34225
20140822	35306	31861
20140823	30818	33154
20140824	30575	34763
20140825	32571	37103
20140826	36361	34786
20140827	45013	36153
20140828	48138	36423
20140829	47943	37218
20140830	48230	37357
