date	kowj	lien
20140422	0	0
20140423	0	0
20140424	0	0
20140425	0	0
20140426	0	0
20140427	0	0
20140428	0	0
20140429	0	0
20140430	0	0
20140501	0	0
20140502	0	0
20140503	0	0
20140504	0	0
20140505	0	0
20140506	0	0
20140507	0	0
20140508	0	0
20140509	0	0
20140510	0	0
20140511	0	0
20140512	0	0
20140513	0	0
20140514	0	0
20140515	0	0
20140516	0	0
20140517	0	0
20140518	0	0
20140519	3354	2647
20140520	3330	2461
20140521	3345	2428
20140522	3237	2546
20140523	3210	2367
20140524	3233	2285
20140525	3115	2216
20140526	3043	2175
20140527	3158	2125
20140528	3220	2113
20140529	3245	2132
20140530	3217	2278
20140531	3401	2412
20140601	3383	2188
20140602	3507	1892
20140603	3831	1809
20140604	3881	1816
20140605	4030	1796
20140606	4043	1791
20140607	4011	1687
20140608	3869	1821
20140609	4412	1871
20140610	4856	1869
20140611	4909	1960
20140612	5324	1991
20140613	5563	2022
20140614	6363	1960
20140615	6399	1977
20140616	6445	1987
20140617	6439	1993
20140618	6363	1890
20140619	6373	2035
20140620	6649	2298
20140621	6813	2702
20140622	7031	2930
20140623	6966	3032
20140624	7020	3108
20140625	7052	3183
20140626	7108	3093
20140627	7070	3054
20140628	7027	3120
20140629	6801	3177
20140630	6431	3025
20140701	6256	3005
20140702	6336	3021
20140703	6445	3294
20140704	6818	3625
20140705	7316	3756
20140706	6781	3868
20140707	6473	3921
20140708	5968	3922
20140709	5780	4125
20140710	5716	4262
20140711	5013	4397
20140712	4927	4456
20140713	5039	4687
20140714	5362	4979
20140715	5487	5106
20140716	5739	4984
20140717	5564	4849
20140718	5449	4558
20140719	5590	4608
20140720	5580	4687
20140721	5520	4703
20140722	5595	4832
20140723	5818	4876
20140724	5965	5068
20140725	5978	5072
20140726	6097	4974
20140727	6175	5200
20140728	6291	5433
20140729	6149	5743
20140730	6066	5640
20140731	5959	5960
20140801	6173	5985
20140802	6464	6447
20140803	6550	6875
20140804	6511	7066
20140805	6361	7049
20140806	6311	7297
20140807	6210	7755
20140808	6255	8133
20140809	6195	8603
20140810	6046	8841
20140811	6046	9333
20140812	5952	9788
20140813	5987	11160
20140814	6036	11846
20140815	5902	12326
20140816	6088	12516
20140817	6232	13139
20140818	6226	13346
20140819	6063	14083
20140820	5877	14149
20140821	6020	14633
20140822	5999	14991
20140823	5977	15197
20140824	5997	15421
20140825	6107	15880
20140826	6348	16505
20140827	6267	16556
20140828	5907	16799
20140829	5757	16708
20140830	5814	16794
20140901	5700	16776
20140902	5827	16878
20140903	6034	17102
20140904	6480	17176
20140905	6609	17619
20140906	6654	17659
20140907	6640	17498
20140908	7843	17695
20140909	8110	17547
20140910	8596	16780
20140911	8723	16833
20140912	9046	16986
20140913	9719	17508
20140914	10559	17022
20140915	11267	17618
20140916	11898	17431
20140917	12247	18093
20140918	13668	19003
20140919	14403	20245
20140920	15136	21362
20140921	15751	21975
20140922	15926	22628
20140923	16164	23584
20140924	16400	24146
20140925	17043	24617
20140926	17640	25269
20140927	18245	25763
20140928	18413	25537
20140929	18589	25282
20140930	18965	25739
