date	kowj	lien
20140422	75766	87431
20140423	75931	89988
20140424	92398	92085
20140425	96490	94596
20140426	96507	96143
20140427	99683	96293
20140428	97163	96369
20140429	99381	96912
20140430	101245	98525
20140501	101384	98568
20140502	101736	98614
20140503	98888	95651
20140504	98736	93404
20140505	92233	89211
20140506	91824	87520
20140507	87714	84552
20140508	87526	81692
20140509	85294	79124
20140510	84977	74427
20140511	84831	67729
20140512	88527	60781
20140513	88885	56545
20140514	91100	55669
20140515	100989	53299
20140516	102929	51469
20140517	103572	48442
20140518	103154	41402
20140519	102294	39400
20140520	102118	35184
20140521	102818	32824
20140522	88421	32083
20140523	86053	28871
20140524	86459	27302
20140525	80005	26716
20140526	77478	26596
20140527	72623	26071
20140528	71611	24449
20140529	71531	25159
20140530	71226	25647
20140531	74088	25821
20140601	75676	24976
20140602	77836	24596
20140603	83154	22667
20140604	86261	22182
20140605	88326	21731
20140606	89053	23547
20140607	89989	24399
20140608	87471	23616
20140609	93724	23212
20140610	101336	22739
20140611	112565	22755
20140612	113046	22655
20140613	116005	22540
20140614	125795	22250
20140615	126148	21596
20140616	126522	21376
20140617	126788	21264
20140618	126126	21105
20140619	124808	20470
20140620	137023	21024
20140621	138788	21386
20140622	139556	22101
20140623	140031	22717
20140624	140198	23113
20140625	139585	23830
20140626	139865	23319
20140627	140030	23033
20140628	138206	22944
20140629	137312	23541
20140630	136886	22233
20140701	135528	20946
20140702	133954	20561
20140703	134905	22333
20140704	140952	20999
20140705	142347	20643
20140706	140694	19570
20140707	133276	19825
20140708	130058	19593
20140709	121320	19772
20140710	114202	20820
20140711	111690	21269
20140712	100212	21385
20140713	100068	21740
20140714	108558	22735
20140715	110452	23120
20140716	112823	23248
20140717	114372	22629
20140718	100908	21717
20140719	99578	22560
20140720	98909	22918
20140721	101985	23077
20140722	105882	23287
20140723	111360	23514
20140724	113994	25234
20140725	114122	25255
20140726	114911	25257
20140727	115548	25298
20140728	114890	25833
20140729	113036	26623
20140730	113556	27352
20140731	114279	26673
20140801	115703	27326
20140802	117564	27343
20140803	120832	27493
20140804	119791	27217
20140805	121112	28865
20140806	119938	33622
20140807	119456	35823
20140808	117966	39763
20140809	118606	44803
20140810	120549	49363
20140811	116107	53691
20140812	117327	56300
20140813	118409	63071
20140814	119077	65939
20140815	120158	68523
20140816	122831	69224
20140817	124507	70226
20140818	123472	72549
20140819	122023	76630
20140820	117447	78966
20140821	115510	79478
20140822	116403	80122
20140823	117476	82714
20140824	118342	84495
20140825	120613	87331
20140826	123076	88841
20140827	127069	91138
20140828	126367	92917
20140829	118250	93405
20140830	116378	94422
20140901	115222	98726
20140902	112224	98640
20140903	114259	97164
20140904	120042	97417
20140905	122283	97531
20140906	122547	96578
20140907	121710	94989
20140908	126759	93353
20140909	128376	93552
20140910	127818	91013
20140911	127095	91733
20140912	126936	93213
20140913	135430	94169
20140914	144326	94126
20140915	151936	93998
20140916	156182	92162
20140917	160407	92116
20140918	177636	93467
20140919	203068	96342
20140920	210217	97938
20140921	218489	99293
20140922	223722	98554
20140923	225570	99743
20140924	225198	99270
20140925	228777	100168
20140926	232758	101954
20140927	241195	104778
20140928	250883	108997
20140929	258269	109988
20140930	263385	111722
