date	kowj	lien
20140422	200909	57244
20140423	201060	59181
20140424	202387	60789
20140425	202884	62444
20140426	202996	63607
20140427	203712	63623
20140428	204202	63584
20140429	204715	64010
20140430	205015	65394
20140501	205162	65417
20140502	205284	65431
20140503	205378	65448
20140504	205482	65451
20140505	205723	65491
20140506	205969	65548
20140507	206052	65552
20140508	206166	66148
20140509	206263	66779
20140510	206316	67258
20140511	209805	68059
20140512	210402	68574
20140513	210495	69075
20140514	210826	69335
20140515	212155	69554
20140516	212626	69847
20140517	213019	70073
20140518	213277	70330
20140519	213482	70554
20140520	213619	70747
20140521	213727	71003
20140522	213810	71188
20140523	213903	71552
20140524	213984	71678
20140525	214089	71690
20140526	214167	71693
20140527	214274	71695
20140528	214451	71705
20140529	214479	71724
20140530	214826	71737
20140531	215797	71740
20140601	216087	71745
20140602	216437	71746
20140603	217118	71742
20140604	217492	71744
20140605	217714	71741
20140606	217891	71748
20140607	218236	71765
20140608	218952	71785
20140609	221028	71802
20140610	222014	71807
20140611	223949	71846
20140612	225118	71856
20140613	226155	71864
20140614	227533	71883
20140615	228093	71919
20140616	228591	71958
20140617	228888	71970
20140618	229129	71998
20140619	229332	71998
20140620	230895	72055
20140621	231290	72102
20140622	231524	72127
20140623	231803	72159
20140624	231972	72180
20140625	232136	72214
20140626	232253	72238
20140627	232372	72261
20140628	232483	72278
20140629	232581	72271
20140630	232826	72273
20140701	233073	72283
20140702	233312	72286
20140703	233846	72331
20140704	234210	72400
20140705	234634	72456
20140706	234956	72571
20140707	235127	72598
20140708	235409	72613
20140709	235868	72663
20140710	236459	72715
20140711	236899	72792
20140712	237308	72833
20140713	237453	72857
20140714	238320	72982
20140715	238664	73025
20140716	238964	73095
20140717	239335	73170
20140718	239683	73204
20140719	239925	73278
20140720	240190	73918
20140721	240714	74482
20140722	241270	74511
20140723	241835	74529
20140724	242215	74533
20140725	242356	74544
20140726	242505	74568
20140727	242710	74592
20140728	243000	74660
20140729	243529	74862
20140730	244087	74961
20140731	244661	75017
20140801	245614	75101
20140802	246257	75206
20140803	246808	75271
20140804	247139	75324
20140805	248051	76675
20140806	248722	81511
20140807	249432	83786
20140808	250052	87360
20140809	250522	91819
20140810	251012	95716
20140811	253692	99182
20140812	254372	100739
20140813	255326	103604
20140814	256738	105516
20140815	257583	107230
20140816	258463	108676
20140817	259330	110122
20140818	261021	111650
20140819	262925	113717
20140820	263607	116213
20140821	264026	117398
20140822	264680	117792
20140823	265270	120173
20140824	265842	121861
20140825	266591	123376
20140826	267176	124707
20140827	268124	126009
20140828	268816	127608
20140829	269203	128915
20140830	269595	129867
20140901	270710	132546
20140902	271193	132591
20140903	271727	132658
20140904	272824	133620
20140905	273459	135102
20140906	273855	136038
20140907	274110	137346
20140908	274766	138767
20140909	275610	140475
20140910	276086	142505
20140911	276624	144768
20140912	277376	146957
20140913	278986	148585
20140914	280419	149438
20140915	282182	151207
20140916	283478	152908
20140917	285412	154613
20140918	288558	157345
20140919	292672	159805
20140920	294718	162135
20140921	296666	164597
20140922	298190	166610
20140923	299048	168683
20140924	300096	170525
20140925	301776	172799
20140926	302904	175343
20140927	304174	177888
20140928	305909	180405
20140929	307805	182802
20140930	308907	184856
