date	kowj	lien
20140930	8436	14225
20140929	8367	14004
20140928	7381	13676
20140927	7182	13173
20140926	7844	13111
20140925	8745	12901
20140924	11135	13099
20140923	13124	13963
20140922	14173	13606
20140921	13964	13289
20140920	13787	12597
20140919	13194	11135
20140918	10703	10281
20140917	8453	9766
20140916	7111	10319
20140915	6282	10650
20140914	5396	10574
20140913	4626	11142
20140912	3332	10821
20140911	2982	9567
20140910	3127	8821
20140909	3727	7752
20140908	3439	6139
20140907	3291	4778
20140906	4110	6116
20140905	4112	6160
20140904	3832	5999
20140903	3304	6498
20140902	3700	7727
20140901	3784	8986
20140830	3428	7853
20140829	3622	8582
20140828	3802	9609
20140827	3930	8553
20140826	3410	8423
20140825	3511	9592
20140824	4624	10133
20140823	5703	9959
20140822	5971	9027
20140821	6139	10067
20140820	6559	10590
20140819	7250	10007
20140818	6342	10794
20140817	5354	10827
20140816	7158	12845
20140815	6834	15279
20140814	6448	18047
20140813	5708	19708
20140812	5466	19143
20140811	5448	22418
20140810	3682	20302
20140809	3523	16482
20140808	3611	12091
20140807	3617	8629
20140806	3836	6426
20140805	3734	1658
20140804	3395	405
20140803	3578	551
20140802	3356	547
20140801	2933	473
20140731	2181	423
20140730	1784	390
20140729	1621	292
20140728	1661	114
20140727	1916	76
20140726	2241	608
20140725	2353	1235
20140724	2445	1278
20140723	2424	1315
20140722	2238	1374
20140721	1979	1417
20140720	1790	892
20140719	2365	367
20140718	2273	331
20140717	2321	328
20140716	2410	325
20140715	2702	312
20140714	2812	319
20140713	2245	204
20140712	2280	202
20140711	2203	283
20140710	2162	269
20140709	1921	274
20140708	1810	257
20140707	1926	259
20140706	1994	245
20140705	1919	145
20140704	1618	78
20140703	1382	36
20140702	1170	39
20140701	875	54
20140630	799	73
20140629	696	84
20140628	868	129
20140627	985	132
20140626	960	35
20140625	2380	60
20140624	2418	33
20140623	2507	40
20140622	2542	18
20140621	2787	36
20140620	3223	132
20140619	3052	107
20140618	3837	112
20140617	4725	95
20140616	6267	120
20140615	6743	92
20140614	8198	85
20140613	7552	75
20140612	6907	84
20140611	5952	83
20140610	4337	42
20140609	3759	32
20140608	2414	18
20140607	2061	9
20140606	1983	-8
20140605	2756	-10
20140604	2868	-4
20140603	2544	13
20140602	2077	19
20140601	1843	13
20140531	1665	15
20140530	803	29
20140529	558	146
20140528	597	485
20140527	509	650
20140526	522	918
20140525	568	1107
20140524	683	1311
20140523	834	1441
20140522	1121	1315
20140521	1498	1428
20140520	2648	1389
20140519	2854	1454
20140518	2741	1738
20140517	3077	1995
20140516	6079	2562
20140515	5658	2763
20140514	4507	3151
20140513	4270	3483
20140512	4289	2982
20140511	3944	2515
20140510	823	1753
20140509	885	1264
20140508	850	667
20140507	878	92
20140506	930	108
20140505	980	1425
20140504	1221	1801
20140503	1584	1761
20140502	2201	1756
20140501	2184	2895
20140430	2514	4515
20140429	3490	4746
20140428	3145	6269
20140427	0	0
20140426	0	0
20140425	0	0
20140424	0	0
20140423	0	0
20140422	0	0
