date	kowj	lien
20140422	0	0
20140423	0	0
20140424	0	0
20140425	0	0
20140426	0	0
20140427	0	0
20140428	0	0
20140429	0	0
20140430	0	0
20140501	0	0
20140502	0	0
20140503	0	0
20140504	0	0
20140505	1349	1219
20140506	1451	1407
20140507	1554	1608
20140508	1446	1640
20140509	1405	1452
20140510	1355	1370
20140511	1268	1406
20140512	1372	1437
20140513	1321	1403
20140514	1272	1471
20140515	1786	1538
20140516	1853	1541
20140517	1880	1561
20140518	1884	1399
20140519	1851	1023
20140520	1712	778
20140521	1611	749
20140522	1744	854
20140523	1774	888
20140524	1725	801
20140525	1640	730
20140526	1608	711
20140527	1836	623
20140528	1384	553
20140529	1308	566
20140530	1311	707
20140531	1408	750
20140601	1378	760
20140602	1628	838
20140603	2040	989
20140604	2090	910
20140605	2225	881
20140606	2165	876
20140607	2164	877
20140608	2198	1083
20140609	2575	1149
20140610	2908	1227
20140611	3450	1366
20140612	3960	1254
20140613	4042	1171
20140614	4864	1171
20140615	4743	1108
20140616	4326	956
20140617	4169	926
20140618	4077	948
20140619	4104	1132
20140620	4363	1412
20140621	4584	1611
20140622	4227	1770
20140623	3946	1786
20140624	3495	1701
20140625	3036	1758
20140626	2856	1778
20140627	2115	1844
20140628	2006	1903
20140629	1984	2028
20140630	2032	2021
20140701	1983	2025
20140702	2188	1867
20140703	1961	1872
20140704	2169	1800
20140705	2483	1909
20140706	2390	1985
20140707	2361	2040
20140708	2366	2105
20140709	2632	2286
20140710	2688	2379
20140711	2850	2448
20140712	2869	2387
20140713	2934	2618
20140714	3275	2900
20140715	3228	3033
20140716	3398	2822
20140717	3109	2636
20140718	2717	2413
20140719	3036	2510
20140720	3053	2552
20140721	3047	2482
20140722	2851	2465
20140723	2958	2392
20140724	3067	2515
20140725	3057	2519
20140726	3042	2315
20140727	2845	2242
20140728	2787	2352
20140729	2598	2626
20140730	2463	2663
20140731	2679	3202
20140801	3066	3286
20140802	3274	3745
20140803	3391	4212
20140804	3282	4339
20140805	3175	4459
20140806	3034	4608
20140807	3082	5131
20140808	3027	5546
20140809	2954	6021
20140810	3030	6308
20140811	3125	6623
20140812	3284	6970
20140813	3137	7836
20140814	2580	8274
20140815	2474	8389
20140816	2591	8193
20140817	2768	8555
20140818	2716	8762
20140819	2710	9178
20140820	2734	8909
20140821	2822	9019
20140822	2846	8703
20140823	2776	8598
20140824	2738	8440
20140825	2753	8718
20140826	2824	8008
20140827	2910	7912
20140828	3071	7759
20140829	2943	7937
20140830	2973	7867
20140901	2756	7769
20140902	2939	7254
20140903	3191	7561
20140904	3542	7674
20140905	3637	8174
20140906	3631	8483
20140907	3673	8385
20140908	4861	8438
20140909	5046	8012
20140910	5466	8060
20140911	5396	8308
20140912	5763	8667
20140913	6496	8907
20140914	7627	8801
20140915	8156	9502
20140916	8574	9507
20140917	8501	9826
20140918	9881	10403
20140919	10595	11289
20140920	11272	12462
20140921	10646	12720
20140922	10569	13799
20140923	10392	14812
20140924	10587	15225
20140925	11068	15390
20140926	10864	15698
20140927	10659	16608
20140928	9902	15688
20140929	9630	15105
20140930	9909	15207
