date	kowj	lien
20140422	0	0
20140423	0	0
20140424	0	0
20140425	0	0
20140426	0	0
20140427	0	0
20140428	0	0
20140429	0	0
20140430	0	0
20140501	0	0
20140502	0	0
20140503	0	0
20140504	0	0
20140505	77961	16071
20140506	83146	19358
20140507	92273	23074
20140508	88255	23489
20140509	86561	17279
20140510	79331	15389
20140511	78395	18463
20140512	87520	19627
20140513	83978	19710
20140514	83144	21753
20140515	97730	23028
20140516	98696	23076
20140517	98787	23191
20140518	101074	20487
20140519	98602	16506
20140520	88254	12718
20140521	82310	12250
20140522	90193	15013
20140523	91255	15736
20140524	84200	12038
20140525	72660	10786
20140526	68045	10642
20140527	81799	8584
20140528	68250	7324
20140529	67309	9417
20140530	69035	13637
20140531	68597	14964
20140601	66333	14798
20140602	79985	17054
20140603	91986	23937
20140604	92385	24149
20140605	103698	23774
20140606	98476	23760
20140607	97795	23762
20140608	97670	27445
20140609	104100	28248
20140610	118169	28381
20140611	141614	29322
20140612	158719	25345
20140613	165018	23006
20140614	185727	22929
20140615	173956	20666
20140616	156426	13868
20140617	146978	10856
20140618	138048	10491
20140619	138217	13009
20140620	154405	18559
20140621	165657	18258
20140622	155378	21922
20140623	139585	24563
20140624	116669	22894
20140625	99033	24453
20140626	89170	23715
20140627	69790	25242
20140628	67002	26013
20140629	69817	29027
20140630	75730	29586
20140701	73734	29634
20140702	85016	27145
20140703	69961	25298
20140704	81161	24893
20140705	85877	23571
20140706	84720	22372
20140707	88546	23304
20140708	91021	22290
20140709	103936	24369
20140710	105702	23774
20140711	113071	23091
20140712	112316	20027
20140713	113735	21016
20140714	142331	24251
20140715	143662	25830
20140716	148263	22321
20140717	133141	19458
20140718	123049	16402
20140719	136022	18616
20140720	131710	17081
20140721	135194	16616
20140722	133523	16208
20140723	142692	16035
20140724	146650	21392
20140725	145968	23011
20140726	145185	21776
20140727	119921	21481
20140728	110113	22401
20140729	104926	24706
20140730	97910	25668
20140731	109494	33492
20140801	119436	32010
20140802	137113	35938
20140803	141499	36142
20140804	130227	33667
20140805	124584	34078
20140806	121619	32640
20140807	121373	40091
20140808	117363	46342
20140809	116665	50154
20140810	122669	55448
20140811	127120	61190
20140812	135655	65711
20140813	131000	75186
20140814	113463	85979
20140815	101133	91885
20140816	103153	93842
20140817	108347	104297
20140818	102262	106964
20140819	97975	-88025
20140820	99470	42760
20140821	105440	46904
20140822	105836	47626
20140823	102239	78279
20140824	100845	92157
20140825	100217	119819
20140826	99496	118870
20140827	103862	118188
20140828	113629	119175
20140829	104585	125360
20140830	105431	128892
20140901	95922	158710
20140902	106516	355463
20140903	116355	226922
20140904	130294	236122
20140905	135817	250387
20140906	133251	232092
20140907	134559	219139
20140908	155042	206670
20140909	151510	201144
20140910	156707	205269
20140911	145181	206551
20140912	150871	209041
20140913	167114	205165
20140914	204019	175262
20140915	212092	180065
20140916	224072	178292
20140917	216349	170140
20140918	250845	164422
20140919	283478	158750
20140920	310776	158099
20140921	317136	144398
20140922	321923	142398
20140923	323532	143012
20140924	342825	140549
20140925	370753	138497
20140926	368907	142557
20140927	374500	158282
20140928	357307	151151
20140929	356977	143396
20140930	372513	138553
