date	kowj	lien
20140422	0	0
20140423	0	0
20140424	0	0
20140425	0	0
20140426	0	0
20140427	0	0
20140428	0	0
20140429	0	0
20140430	0	0
20140501	0	0
20140502	0	0
20140503	0	0
20140504	0	0
20140505	4046	121
20140506	4165	197
20140507	4271	257
20140508	2632	265
20140509	2384	228
20140510	2307	226
20140511	1718	244
20140512	1686	250
20140513	1512	253
20140514	1439	284
20140515	3581	297
20140516	4160	300
20140517	4255	304
20140518	4522	285
20140519	4521	209
20140520	4405	149
20140521	4308	140
20140522	4438	178
20140523	4476	185
20140524	4609	161
20140525	4353	144
20140526	4198	136
20140527	4384	103
20140528	2417	92
20140529	1841	104
20140530	1736	150
20140531	2000	148
20140601	2033	145
20140602	2371	216
20140603	3389	323
20140604	3710	315
20140605	4629	307
20140606	4404	310
20140607	4741	339
20140608	4802	394
20140609	5959	406
20140610	6978	395
20140611	8472	418
20140612	9902	374
20140613	10026	376
20140614	10644	378
20140615	10368	303
20140616	9255	196
20140617	8780	171
20140618	7866	172
20140619	7767	197
20140620	7871	227
20140621	8015	187
20140622	6844	213
20140623	5683	249
20140624	4174	237
20140625	2755	256
20140626	2062	241
20140627	1422	241
20140628	1336	254
20140629	1357	274
20140630	1540	272
20140701	1562	270
20140702	1982	246
20140703	1606	216
20140704	2425	239
20140705	2752	213
20140706	2713	206
20140707	2791	195
20140708	2912	175
20140709	3495	185
20140710	3792	222
20140711	4068	252
20140712	4077	241
20140713	4102	263
20140714	4682	313
20140715	4480	355
20140716	4649	329
20140717	3794	299
20140718	3380	291
20140719	3694	416
20140720	3638	453
20140721	3596	456
20140722	3595	466
20140723	3886	473
20140724	3970	468
20140725	3982	467
20140726	4015	444
20140727	3576	416
20140728	3497	430
20140729	3322	478
20140730	3158	501
20140731	3836	586
20140801	4488	522
20140802	4951	528
20140803	5244	537
20140804	4727	509
20140805	4493	492
20140806	4496	483
20140807	4522	619
20140808	4324	712
20140809	4263	769
20140810	4449	819
20140811	4639	887
20140812	4865	965
20140813	4375	1127
20140814	3540	1205
20140815	3208	1233
20140816	3217	1268
20140817	3460	1288
20140818	3124	1293
20140819	2959	1574
20140820	3066	1503
20140821	3404	1602
20140822	3455	1587
20140823	3306	1532
20140824	3321	1466
20140825	3350	1507
20140826	3308	1386
20140827	3543	1365
20140828	4265	1375
20140829	4054	1422
20140830	4043	1554
20140901	4017	1831
20140902	4273	1588
20140903	4469	1720
20140904	4636	1636
20140905	4775	1784
20140906	4738	1880
20140907	4630	1893
20140908	5402	1903
20140909	5496	1843
20140910	5516	1832
20140911	4734	1974
20140912	5079	2017
20140913	7826	1957
20140914	9490	1685
20140915	10107	1712
20140916	10642	1529
20140917	10408	1507
20140918	15226	1439
20140919	17207	1424
20140920	18226	1456
20140921	18772	1356
20140922	19083	1359
20140923	19485	1347
20140924	20291	1218
20140925	20952	1159
20140926	19068	1195
20140927	18583	1277
20140928	17753	1201
20140929	18370	1197
20140930	19248	1165
