date	kowj	lien
20140930	27749	8632
20140929	30813	13694
20140928	40944	18570
20140927	36233	15728
20140926	23014	9810
20140925	24911	8568
20140924	18473	9142
20140923	16071	12096
20140922	18887	8415
20140921	29926	6566
20140920	26555	8184
20140919	51175	11505
20140918	37850	8705
20140917	15828	7912
20140916	19542	8873
20140915	23622	6118
20140914	26470	5647
20140913	29445	6794
20140912	8052	8628
20140911	7161	9889
20140910	14672	10980
20140909	11394	9275
20140908	23368	10756
20140907	10786	7062
20140906	5688	10551
20140905	12135	11627
20140904	18879	11977
20140903	13749	9348
20140902	11127	6722
20140901	11288	11052
20140830	9830	9518
20140829	5130	6288
20140828	10244	8513
20140827	17419	10685
20140826	12401	9033
20140825	9298	13325
20140824	5047	8418
20140823	7462	2917
20140822	6067	6354
20140821	7720	8757
20140820	3484	4956
20140819	4415	10968
20140818	4682	4481
20140817	6248	3577
20140816	13512	1555
20140815	8141	8298
20140814	5893	6993
20140813	12640	12992
20140812	11039	5404
20140811	8690	7360
20140810	10784	7361
20140809	4910	3578
20140808	3106	6372
20140807	1307	6133
20140806	7001	4413
20140805	13228	2213
20140804	1976	316
20140803	12466	721
20140802	8258	1790
20140801	23642	4742
20140731	15438	4144
20140730	11782	3898
20140729	3223	3138
20140728	5317	2113
20140727	5068	3908
20140726	6964	248
20140725	1325	887
20140724	11305	5729
20140723	15468	4068
20140722	11129	3413
20140721	12891	429
20140720	1650	934
20140719	9231	4508
20140718	4878	123
20140717	8507	191
20140716	11493	227
20140715	5723	996
20140714	26326	3842
20140713	5839	2477
20140712	1170	260
20140711	9972	589
20140710	4939	1515
20140709	8974	3774
20140708	13187	476
20140707	10553	2877
20140706	850	670
20140705	5983	3453
20140704	20961	3297
20140703	14552	4938
20140702	5591	73
20140701	10288	95
20140630	7116	357
20140629	4432	3409
20140628	340	412
20140627	2023	2278
20140626	5486	498
20140625	2913	2822
20140624	3204	838
20140623	1024	2992
20140622	4835	3348
20140621	6440	2773
20140620	29265	3646
20140619	188	3816
20140618	511	59
20140617	369	86
20140616	624	43
20140615	1879	56
20140614	26290	143
20140613	12914	807
20140612	20876	1183
20140611	29020	1839
20140610	19875	1926
20140609	20863	504
20140608	7360	4305
20140607	2357	1178
20140606	3641	2238
20140605	9278	159
20140604	13963	1517
20140603	14914	4407
20140602	8763	4708
20140601	7798	145
20140531	7934	1183
20140530	308	3034
20140529	2914	3789
20140528	5146	30
20140527	237	36
20140526	158	30
20140525	679	17
20140524	3035	70
20140523	5692	448
20140522	7395	3470
20140521	6060	29
20140520	401	73
20140519	1152	251
20140518	6739	2077
20140517	725	1008
20140516	3060	49
20140515	19987	188
20140514	7438	1676
20140513	1897	1845
20140512	15368	586
20140511	12581	4516
20140510	144	51
20140509	702	109
20140508	7624	298
20140507	7653	2386
20140506	3376	6519
20140505	2819	3742
20140504	2478	2853
20140503	2784	34
20140502	4438	58
20140501	742	45
20140430	6485	298
20140429	12162	201
20140428	4444	399
20140427	17215	2291
20140426	1318	1056
20140425	6156	6000
20140424	27007	584
20140423	1326	1011
20140422	2077	8053
