date	kowj	lien
20140930	1045	2036
20140929	1793	2382
20140928	1661	2506
20140927	1208	2507
20140926	1082	2518
20140925	1647	2276
20140924	976	1815
20140923	807	2054
20140922	1462	2003
20140921	1870	2445
20140920	1983	2308
20140919	4037	2474
20140918	2965	2679
20140917	1856	1697
20140916	1253	1686
20140915	1693	1753
20140914	1390	846
20140913	1546	1620
20140912	715	2164
20140911	514	2250
20140910	424	2017
20140909	807	1677
20140908	620	1414
20140907	252	1299
20140906	365	910
20140905	659	1504
20140904	1024	948
20140903	519	64
20140902	472	53
20140901	1071	2637
20140830	367	954
20140829	379	1343
20140828	496	1447
20140827	915	1293
20140826	556	1312
20140825	715	1504
20140824	561	1683
20140823	559	2370
20140822	624	391
20140821	395	1163
20140820	657	2481
20140819	1828	2045
20140818	1640	1509
20140817	827	1438
20140816	792	1431
20140815	815	1686
20140814	1348	1898
20140813	920	2832
20140812	652	1542
20140811	2631	3456
20140810	468	3865
20140809	429	4454
20140808	608	3559
20140807	678	2267
20140806	634	4817
20140805	865	1340
20140804	309	45
20140803	517	63
20140802	614	97
20140801	897	64
20140731	532	49
20140730	526	87
20140729	492	191
20140728	295	59
20140727	191	23
20140726	145	14
20140725	135	16
20140724	363	-11
20140723	532	13
20140722	550	21
20140721	516	555
20140720	257	641
20140719	227	59
20140718	342	26
20140717	346	72
20140716	291	64
20140715	327	30
20140714	832	116
20140713	135	23
20140712	390	23
20140711	435	69
20140710	583	51
20140709	437	37
20140708	265	1
20140707	170	21
20140706	313	104
20140705	394	55
20140704	342	56
20140703	326	20
20140702	381	3
20140701	238	7
20140630	238	4
20140629	93	-12
20140628	106	14
20140627	114	23
20140626	86	18
20140625	162	26
20140624	135	15
20140623	265	33
20140622	223	17
20140621	89	-74
20140620	1506	43
20140619	200	-1
20140618	224	22
20140617	300	11
20140616	468	35
20140615	525	22
20140614	1335	18
20140613	985	4
20140612	1112	5
20140611	1842	36
20140610	944	7
20140609	1980	15
20140608	689	8
20140607	340	13
20140606	157	4
20140605	227	-5
20140604	366	-3
20140603	635	1
20140602	336	-1
20140601	262	-4
20140531	930	2
20140530	339	1
20140529	42	14
20140528	168	7
20140527	102	-7
20140526	84	-2
20140525	68	16
20140524	94	118
20140523	81	353
20140522	80	172
20140521	115	261
20140520	130	187
20140519	183	220
20140518	245	248
20140517	368	227
20140516	457	285
20140515	1265	222
20140514	336	252
20140513	70	504
20140512	581	505
20140511	3370	794
20140510	36	486
20140509	114	610
20140508	99	584
20140507	89	3
20140506	236	38
20140505	249	32
20140504	98	-3
20140503	79	13
20140502	127	9
20140501	141	19
20140430	286	1355
20140429	490	408
20140428	461	-43
20140427	696	8
20140426	110	1148
20140425	471	1639
20140424	1262	1586
20140423	145	1931
20140422	0	0
