date	kowj	lien
20140830	44802	29504
20140829	44321	28636
20140828	44336	26814
20140827	41083	27600
20140826	32951	26363
20140825	29060	27511
20140824	25951	24630
20140823	25115	23195
20140822	29335	22834
20140821	30963	24158
20140820	30930	24256
20140819	35950	29354
20140818	39311	25727
20140817	42792	27974
20140816	42973	28824
20140815	38550	28715
20140814	36221	26928
20140813	34671	24791
20140812	31439	21705
20140811	33718	16339
20140810	30331	12814
20140809	32123	11575
20140808	35794	11362
20140807	49632	11806
20140806	55736	11444
20140805	57041	11240
20140804	51920	11544
20140803	51672	11994
20140802	48006	12722
20140801	44714	11978
20140731	32021	10342
20140730	29426	11923
20140729	33430	12180
20140728	38326	12217
20140727	42700	12057
20140726	41234	11259
20140725	42372	12388
20140724	43328	11982
20140723	41147	9274
20140722	37616	7681
20140721	34732	6818
20140720	44436	8681
20140719	44823	8747
20140718	42930	6448
20140717	45024	6936
20140716	44394	8084
20140715	44592	9786
20140714	47756	9371
20140713	37382	8681
20140712	35743	8164
20140711	38482	9447
20140710	46150	10088
20140709	50515	10990
20140708	48643	9729
20140707	47185	9555
20140706	45842	8877
20140705	46457	9907
20140704	43485	8845
20140703	32204	8147
20140702	25900	5502
20140701	22776	6812
20140630	16776	7285
20140629	13387	8296
20140628	14094	8207
20140627	18553	8857
20140626	41849	9840
20140625	38897	10813
20140624	38411	9902
20140623	37890	9410
20140622	37822	8442
20140621	36977	7213
20140620	51800	6233
20140619	38106	4594
20140618	50500	2317
20140617	66422	3744
20140616	73546	4975
20140615	83505	5292
20140614	83018	7850
20140613	71999	8920
20140612	67933	10837
20140611	62295	10515
20140610	52785	10179
20140609	49465	11792
20140608	40079	13659
20140607	39367	11643
20140606	41760	10910
20140605	39973	9739
20140604	35795	10847
20140603	31017	10349
20140602	22563	8607
20140601	17935	6118
20140531	13842	6045
20140530	10602	5622
20140529	14637	4614
20140528	17926	4235
20140527	18114	4310
20140526	18179	4253
20140525	18761	4432
20140524	21693	5885
20140523	20449	6442
20140522	19811	6165
20140521	31411	3785
20140520	31856	4880
20140519	32531	6151
20140518	41040	6333
20140517	46486	8339
20140516	42715	7586
20140515	40790	7620
20140514	31117	7513
20140513	29879	7447
20140512	29592	10905
20140511	22979	12704
20140510	16444	12328
20140509	17247	12342
20140508	18360	12309
20140507	15418	12176
20140506	15507	12597
20140505	22850	7538
20140504	24742	3732
20140503	34727	3286
20140502	34166	5293
20140501	37528	10454
20140430	56589	10883
20140429	53315	11769
20140428	48408	15220
20140427	48394	15360
20140426	42202	22309
20140425	43863	34903
20140424	39728	33999
20140423	16970	34983
20140422	16467	33847
20140421	15941	35484
20140420	12996	41492
