date	kowj	lien
20140420	0	0
20140421	0	0
20140422	0	0
20140423	0	0
20140424	0	0
20140425	0	0
20140426	0	0
20140427	0	0
20140428	0	0
20140429	0	0
20140430	0	0
20140501	0	0
20140502	0	0
20140503	1682	21
20140504	898	18
20140505	637	52
20140506	425	132
20140507	492	194
20140508	659	201
20140509	623	202
20140510	607	205
20140511	748	179
20140512	918	117
20140513	941	57
20140514	729	81
20140515	2884	95
20140516	3535	95
20140517	3435	78
20140518	3473	87
20140519	3434	88
20140520	3458	59
20140521	1386	44
20140522	901	80
20140523	828	86
20140524	835	55
20140525	750	52
20140526	734	44
20140527	805	44
20140528	863	9
20140529	900	14
20140530	562	67
20140531	1120	91
20140601	1269	97
20140602	1445	172
20140603	2358	275
20140604	2770	291
20140605	3721	243
20140606	3239	217
20140607	3458	246
20140608	3165	222
20140609	3375	127
20140610	4131	89
20140611	4743	125
20140612	6060	131
20140613	6405	128
20140614	7111	81
20140615	5854	69
20140616	4635	76
20140617	3078	44
20140618	1685	41
20140619	980	38
20140620	685	95
20140621	812	106
20140622	964	144
20140623	1034	167
20140624	1051	190
20140625	1048	190
20140626	596	142
20140627	518	135
20140628	346	110
20140629	309	101
20140630	444	79
20140701	492	55
20140702	900	43
20140703	869	70
20140704	1901	91
20140705	2359	83
20140706	2207	101
20140707	2280	115
20140708	1978	119
20140709	2485	111
20140710	1885	118
20140711	1662	149
20140712	1673	136
20140713	1755	147
20140714	2262	193
20140715	1885	213
20140716	1726	177
20140717	1627	138
20140718	1662	133
20140719	1799	254
20140720	1236	255
20140721	1094	220
20140722	1431	248
20140723	1977	292
20140724	2252	326
20140725	1961	187
20140726	2132	138
20140727	2242	153
20140728	1787	177
20140729	1162	182
20140730	815	171
20140731	1516	252
20140801	2272	332
20140802	2611	367
20140803	2841	327
20140804	2836	279
20140805	3312	283
20140806	2912	223
20140807	1995	284
20140808	1505	322
20140809	1261	385
20140810	1509	487
20140811	1308	577
20140812	1184	653
20140813	1369	760
20140814	1488	825
20140815	1556	831
20140816	1609	776
20140817	1657	680
20140818	1571	611
20140819	1496	670
20140820	1521	582
20140821	1701	691
20140822	1499	704
20140823	1355	731
20140824	1505	750
20140825	1575	586
20140826	1611	643
20140827	1627	588
20140828	2366	619
20140829	2357	666
20140830	2379	768
