date	kowj	lien
20140930	217122	58188
20140929	212800	58450
20140928	207285	59767
20140927	198570	55444
20140926	191304	54200
20140925	188168	53613
20140924	185817	53537
20140923	186240	54490
20140922	184711	54041
20140921	180410	55242
20140920	173759	54667
20140919	168325	53049
20140918	147350	52284
20140917	133252	52444
20140916	130335	51717
20140915	125609	53094
20140914	118326	53417
20140913	110224	52876
20140912	102644	52121
20140911	102698	51113
20140910	102569	50750
20140909	102608	52376
20140908	101217	52323
20140907	94375	51908
20140906	94924	50903
20140905	94617	48328
20140904	92535	46168
20140903	87307	44625
20140902	85254	41391
20140901	87727	40216
20140830	89635	38587
20140829	91283	38475
20140828	98837	39214
20140827	99133	38841
20140826	95754	37834
20140825	93403	37553
20140824	91444	36082
20140823	90856	35939
20140822	90135	35703
20140821	89768	35463
20140820	91939	36122
20140819	96661	36276
20140818	99359	34355
20140817	101481	33583
20140816	100231	33466
20140815	98396	33554
20140814	97919	32657
20140813	98272	31711
20140812	97773	27834
20140811	96951	26709
20140810	103558	25826
20140809	101394	25070
20140808	101091	24487
20140807	102731	24100
20140806	103455	24096
20140805	104678	24116
20140804	103862	23779
20140803	104878	24100
20140802	102090	23995
20140801	100652	23986
20140731	99769	23379
20140730	99237	24047
20140729	98897	23424
20140728	100801	22883
20140727	101517	22442
20140726	100846	22420
20140725	100158	22445
20140724	100049	22420
20140723	97726	20681
20140722	92882	20446
20140721	89511	20233
20140720	86919	20603
20140719	87580	20820
20140718	88857	20039
20140717	102272	21016
20140716	99610	21652
20140715	97415	21599
20140714	95702	21253
20140713	88003	20397
20140712	87801	20044
20140711	98772	19929
20140710	100319	19558
20140709	106711	18612
20140708	114395	18472
20140707	115983	18664
20140706	122442	18428
20140705	122374	19567
20140704	120780	19942
20140703	115047	21283
20140702	114318	19573
20140701	115990	19939
20140630	117173	21193
20140629	117171	22462
20140628	117790	21879
20140627	119377	21988
20140626	118414	22282
20140625	117908	22807
20140624	118624	22137
20140623	118433	21765
20140622	118153	21219
20140621	117548	20573
20140620	115881	20145
20140619	105340	19542
20140618	106761	19816
20140617	107542	19829
20140616	107470	19691
20140615	107442	19763
20140614	107421	20215
20140613	99003	20279
20140612	96772	20178
20140611	96971	20000
20140610	86792	19802
20140609	80033	20035
20140608	75871	19953
20140607	78431	20223
20140606	74489	18648
20140605	73916	16413
20140604	72111	16244
20140603	69411	16136
20140602	64864	18032
20140601	62896	18343
20140531	61410	19127
20140530	59504	18965
20140529	60048	18490
20140528	60038	17800
20140527	61041	19383
20140526	65561	18540
20140525	67618	18243
20140524	73519	18863
20140523	72533	20522
20140522	74818	22879
20140521	88320	22164
20140520	86509	23184
20140519	86664	25594
20140518	99590	40628
20140517	100022	47461
20140516	99411	50397
20140515	97537	52201
20140514	88033	54521
20140513	85889	55384
20140512	85559	59532
20140511	81977	66372
20140510	82129	73005
20140509	82441	77564
20140508	84583	80078
20140507	84762	82891
20140506	88806	85780
20140505	89188	87453
20140504	95454	91572
20140503	95600	93759
20140502	98341	96671
20140501	98007	96625
20140430	97874	96586
20140429	96083	95003
20140428	93924	94470
20140427	96273	94403
20140426	93142	94264
20140425	93121	92728
20140424	89156	90264
20140423	73238	88193
20140422	73063	85651
