date	kowj	lien
20140422	0	0
20140423	0	0
20140424	0	0
20140425	0	0
20140426	0	0
20140427	0	0
20140428	0	0
20140429	0	0
20140430	0	0
20140501	0	0
20140502	0	0
20140503	0	0
20140504	0	0
20140505	0	0
20140506	0	0
20140507	0	0
20140508	0	0
20140509	0	0
20140510	0	0
20140511	0	0
20140512	0	0
20140513	0	0
20140514	0	0
20140515	0	0
20140516	0	0
20140517	0	0
20140518	0	0
20140519	185196	37017
20140520	183213	35945
20140521	186922	35815
20140522	180139	38603
20140523	178029	33077
20140524	177325	31192
20140525	167553	30520
20140526	161069	30426
20140527	165973	30379
20140528	169867	30391
20140529	169269	32509
20140530	168346	36837
20140531	174459	40899
20140601	173568	35744
20140602	180052	33641
20140603	186635	36678
20140604	184269	39263
20140605	195166	39572
20140606	196470	39563
20140607	186953	35819
20140608	171219	38244
20140609	186095	38917
20140610	204892	37019
20140611	213153	38803
20140612	228369	39106
20140613	240690	40714
20140614	258221	38186
20140615	255406	37801
20140616	254807	37828
20140617	248937	37869
20140618	243021	35050
20140619	243432	36836
20140620	257158	42340
20140621	264216	45716
20140622	273428	50197
20140623	262678	52998
20140624	261572	54373
20140625	260093	54142
20140626	260825	50792
20140627	259414	48464
20140628	256075	49016
20140629	244639	49801
20140630	232681	43518
20140701	224370	40535
20140702	224750	40207
20140703	228643	43878
20140704	247582	46847
20140705	261635	46323
20140706	243298	47122
20140707	231949	49296
20140708	209500	47110
20140709	206042	49816
20140710	200098	49232
20140711	183419	49178
20140712	182999	49162
20140713	189990	50666
20140714	219723	53930
20140715	230364	55546
20140716	238689	53190
20140717	226318	47746
20140718	219027	44467
20140719	223942	43816
20140720	224074	41814
20140721	228025	40832
20140722	240532	41571
20140723	253620	41552
20140724	260279	45328
20140725	261965	46160
20140726	265358	43415
20140727	263914	45825
20140728	266743	48313
20140729	258599	50751
20140730	254267	48116
20140731	247360	53066
20140801	257501	52255
20140802	276467	55380
20140803	280978	53670
20140804	279738	52948
20140805	274268	51261
20140806	276196	54194
20140807	270267	63160
20140808	270405	69730
20140809	266844	74963
20140810	247081	79510
20140811	242057	86111
20140812	241659	91506
20140813	245219	108794
20140814	247915	121832
20140815	241578	128649
20140816	252421	130431
20140817	252891	140629
20140818	243007	142017
20140819	231479	-49866
20140820	223087	84528
20140821	229877	93623
20140822	227495	100813
20140823	229399	136308
20140824	232789	155867
20140825	236950	186619
20140826	246805	201996
20140827	242283	206528
20140828	235771	215814
20140829	219893	219853
20140830	216823	233379
20140901	208702	267060
20140902	213411	271519
20140903	217823	278810
20140904	238798	289654
20140905	245949	304858
20140906	245985	318246
20140907	244679	319558
20140908	264872	332099
20140909	262660	337429
20140910	267990	336611
20140911	267489	336386
20140912	269631	337009
20140913	280784	344702
20140914	304374	338025
20140915	323241	344620
20140916	343920	545127
20140917	355677	417034
20140918	391354	422376
20140919	423627	429370
20140920	453216	399378
20140921	481163	384340
20140922	484366	360008
20140923	492026	360753
20140924	506452	358747
20140925	526755	356331
20140926	545106	361899
20140927	573443	367415
20140928	584626	337061
20140929	594381	333060
20140930	611835	328665
