date	kowj	lien
20140930	35654	51788
20140929	35128	49816
20140928	33807	47487
20140927	33217	47618
20140926	32376	46065
20140925	31673	44890
20140924	30522	44061
20140923	30461	43539
20140922	30210	42797
20140921	29463	42298
20140920	28154	41536
20140919	26730	41598
20140918	23317	39515
20140917	20747	37999
20140916	19548	38783
20140915	20123	39142
20140914	20070	38898
20140913	19507	39490
20140912	18753	39301
20140911	18853	38823
20140910	19687	38471
20140909	20183	39286
20140908	20028	39151
20140907	22039	41193
20140906	22255	43759
20140905	22319	47303
20140904	22268	49358
20140903	21922	50677
20140902	22037	55430
20140901	22430	56717
20140830	21668	54125
20140829	21818	53234
20140828	22053	51988
20140827	22454	50605
20140826	22071	49361
20140825	22041	48136
20140824	21818	46823
20140823	21552	45199
20140822	21184	42852
20140821	20705	42475
20140820	20445	41328
20140819	20151	38836
20140818	18855	36804
20140817	17765	35316
20140816	17454	34433
20140815	16919	33643
20140814	16331	32016
20140813	15325	30144
20140812	14751	27384
20140811	14390	25906
20140810	12086	22480
20140809	12450	18731
20140808	12156	14300
20140807	11938	10764
20140806	11695	8566
20140805	11644	3800
20140804	11216	2497
20140803	11172	2453
20140802	10825	2411
20140801	10524	2418
20140731	10021	2409
20140730	9831	2416
20140729	9631	2349
20140728	9520	2161
20140727	9463	2109
20140726	9510	2090
20140725	9458	2064
20140724	9429	2062
20140723	9180	2096
20140722	8734	2101
20140721	8346	2106
20140720	7965	1566
20140719	7973	958
20140718	7969	916
20140717	7716	816
20140716	8876	787
20140715	8785	722
20140714	8682	714
20140713	8150	609
20140712	8483	621
20140711	8618	620
20140710	9518	569
20140709	9920	522
20140708	10595	490
20140707	12172	525
20140706	12946	511
20140705	14613	422
20140704	14908	375
20140703	14906	332
20140702	14737	316
20140701	14583	308
20140630	14711	298
20140629	15108	295
20140628	15351	306
20140627	15507	288
20140626	16323	267
20140625	16576	250
20140624	16456	238
20140623	16489	230
20140622	16326	190
20140621	16187	171
20140620	16166	261
20140619	14754	336
20140618	14635	690
20140617	14491	840
20140616	14306	1090
20140615	13968	1242
20140614	13626	1440
20140613	12536	1670
20140612	11919	1893
20140611	11264	2173
20140610	10687	2359
20140609	10079	2604
20140608	8169	3093
20140607	8061	3590
20140606	11091	4371
20140605	10970	4853
20140604	10857	5468
20140603	10590	6055
20140602	10044	6057
20140601	9944	6096
20140531	9931	6132
20140530	9099	6127
20140529	8839	6139
20140528	8924	6134
20140527	8897	6146
20140526	9081	7508
20140525	9487	7918
20140524	9880	7859
20140523	10482	7749
20140522	10511	8544
20140521	10902	10011
20140520	12049	11336
20140519	12064	13080
20140518	0	0
20140517	0	0
20140516	0	0
20140515	0	0
20140514	0	0
20140513	0	0
20140512	0	0
20140511	0	0
20140510	0	0
20140509	0	0
20140508	0	0
20140507	0	0
20140506	0	0
20140505	0	0
20140504	0	0
20140503	0	0
20140502	0	0
20140501	0	0
20140430	0	0
20140429	0	0
20140428	0	0
20140427	0	0
20140426	0	0
20140425	0	0
20140424	0	0
20140423	0	0
20140422	0	0
