date	kowj	lien
20140422	73063	85651
20140423	73238	88193
20140424	89156	90264
20140425	93121	92728
20140426	93142	94264
20140427	96273	94403
20140428	93924	94470
20140429	96083	95003
20140430	97874	96586
20140501	98007	96625
20140502	98341	96671
20140503	95600	93759
20140504	95454	91572
20140505	89188	87453
20140506	88806	85780
20140507	84762	82891
20140508	84583	80078
20140509	82441	77564
20140510	82129	73005
20140511	81977	66372
20140512	85559	59532
20140513	85889	55384
20140514	88033	54521
20140515	97537	52201
20140516	99411	50397
20140517	100022	47461
20140518	99590	40628
20140519	98728	38674
20140520	98558	34520
20140521	99222	32175
20140522	85329	31423
20140523	83015	28271
20140524	83399	26722
20140525	77105	26161
20140526	74642	26048
20140527	69938	25529
20140528	68962	23934
20140529	68887	24629
20140530	68603	25092
20140531	71341	25259
20140601	72840	24439
20140602	74908	24089
20140603	80001	22191
20140604	82968	21712
20140605	84886	21266
20140606	85580	23019
20140607	86492	23813
20140608	84040	23046
20140609	90112	22639
20140610	97479	22161
20140611	108235	22173
20140612	108691	22071
20140613	111539	21949
20140614	121047	21655
20140615	121410	21005
20140616	121776	20781
20140617	122033	20669
20140618	121396	20506
20140619	120094	19878
20140620	132047	20406
20140621	133735	20744
20140622	134479	21409
20140623	134922	21995
20140624	135080	22375
20140625	134484	23057
20140626	134737	22549
20140627	134884	22276
20140628	133141	22185
20140629	132279	22757
20140630	131884	21491
20140701	130573	20247
20140702	129055	19889
20140703	129953	21615
20140704	135688	20317
20140705	136987	19989
20140706	135388	18939
20140707	128155	19189
20140708	124990	18962
20140709	116631	19134
20140710	109837	20127
20140711	107390	20549
20140712	96284	20665
20140713	96153	21006
20140714	104384	21967
20140715	106200	22321
20140716	108486	22439
20140717	109988	21832
20140718	96826	20955
20140719	95553	21778
20140720	94884	22169
20140721	97857	22339
20140722	101616	22547
20140723	106906	22777
20140724	109478	24482
20140725	109616	24509
20140726	110356	24510
20140727	110980	24551
20140728	110321	25044
20140729	108528	25773
20140730	109068	26463
20140731	109790	25788
20140801	111176	26404
20140802	112915	26406
20140803	116050	26553
20140804	115078	26276
20140805	116322	27916
20140806	115150	32662
20140807	114669	34864
20140808	113247	38787
20140809	113844	43801
20140810	115644	48306
20140811	111341	52615
20140812	112524	55218
20140813	113597	61855
20140814	114250	64673
20140815	115315	67197
20140816	117685	67899
20140817	119246	68899
20140818	118214	71159
20140819	116812	75112
20140820	112384	77450
20140821	110473	77938
20140822	111319	78555
20140823	112408	81138
20140824	113262	82905
20140825	115444	85689
20140826	117825	87195
20140827	121587	89446
20140828	120890	91202
20140829	113101	91709
20140830	111303	92712
20140901	110157	96933
20140902	107291	96821
20140903	109229	95302
20140904	114803	95526
20140905	116936	95631
20140906	117179	94662
20140907	116414	93101
20140908	121245	91474
20140909	122791	91662
20140910	122256	89221
20140911	121551	89936
20140912	121397	91422
20140913	129731	92366
20140914	138396	92315
20140915	145732	92236
20140916	149883	90500
20140917	153999	90443
20140918	170667	91799
20140919	195055	94647
20140920	201913	96203
20140921	209873	97540
20140922	214921	96838
20140923	216701	98029
20140924	216339	97598
20140925	219841	98503
20140926	223680	100265
20140927	231787	103062
20140928	241092	107254
20140929	247928	108266
20140930	252776	109976
