date	kowj	lien
20140422	193897	56498
20140423	194042	58429
20140424	195304	60015
20140425	195775	61654
20140426	195885	62802
20140427	196581	62810
20140428	197042	62767
20140429	197532	63175
20140430	197818	64530
20140501	197959	64549
20140502	198086	64558
20140503	198165	64571
20140504	198263	64568
20140505	198512	64600
20140506	198748	64638
20140507	198837	64641
20140508	198936	65225
20140509	199050	65835
20140510	199086	66321
20140511	202456	67115
20140512	203037	67620
20140513	203107	68124
20140514	203443	68376
20140515	204708	68598
20140516	205165	68883
20140517	205533	69110
20140518	205778	69358
20140519	205961	69578
20140520	206091	69765
20140521	206206	70026
20140522	206286	70198
20140523	206367	70551
20140524	206461	70669
20140525	206529	70685
20140526	206613	70683
20140527	206715	70676
20140528	206883	70683
20140529	206925	70697
20140530	207264	70698
20140531	208194	70700
20140601	208456	70696
20140602	208792	70695
20140603	209427	70696
20140604	209793	70693
20140605	210020	70688
20140606	210177	70692
20140607	210517	70705
20140608	211206	70713
20140609	213186	70728
20140610	214130	70735
20140611	215972	70771
20140612	217084	70776
20140613	218069	70780
20140614	219404	70798
20140615	219929	70820
20140616	220397	70855
20140617	220697	70866
20140618	220921	70888
20140619	221121	70887
20140620	222627	70930
20140621	222716	70856
20140622	222939	70873
20140623	223204	70906
20140624	223339	70921
20140625	223501	70947
20140626	223587	70965
20140627	223701	70988
20140628	223807	71002
20140629	223900	70990
20140630	224138	70994
20140701	224376	71001
20140702	224757	71004
20140703	225083	71024
20140704	225425	71080
20140705	225819	71135
20140706	226132	71239
20140707	226302	71260
20140708	226567	71261
20140709	227004	71298
20140710	227587	71349
20140711	228022	71418
20140712	228412	71441
20140713	228547	71464
20140714	229379	71580
20140715	229706	71610
20140716	229997	71674
20140717	230343	71746
20140718	230685	71772
20140719	230912	71831
20140720	231169	72472
20140721	231685	73027
20140722	232235	73048
20140723	232767	73061
20140724	233130	73050
20140725	233265	73066
20140726	233410	73080
20140727	233601	73103
20140728	233896	73162
20140729	234388	73353
20140730	234914	73440
20140731	235446	73489
20140801	236343	73553
20140802	236957	73650
20140803	237474	73713
20140804	237783	73758
20140805	238648	75098
20140806	239282	79915
20140807	239960	82182
20140808	240568	85741
20140809	240997	90195
20140810	241465	94060
20140811	244096	97516
20140812	244748	99058
20140813	245668	101890
20140814	247016	103788
20140815	247831	105474
20140816	248623	106905
20140817	249450	108343
20140818	251090	109852
20140819	252918	111897
20140820	253575	114378
20140821	253970	115541
20140822	254594	115932
20140823	255153	118302
20140824	255714	119985
20140825	256429	121489
20140826	256985	122801
20140827	257900	124094
20140828	258396	125541
20140829	258775	126884
20140830	259142	127838
20140901	260213	130475
20140902	260685	130528
20140903	261204	130592
20140904	262228	131540
20140905	262887	133044
20140906	263252	133954
20140907	263504	135253
20140908	264124	136667
20140909	264931	138344
20140910	265355	140361
20140911	265869	142611
20140912	266584	144775
20140913	268130	146395
20140914	269520	147241
20140915	271213	148994
20140916	272466	150680
20140917	274322	152377
20140918	277287	155056
20140919	281324	157530
20140920	283307	159838
20140921	285177	162283
20140922	286639	164286
20140923	287446	166340
20140924	288422	168155
20140925	290069	170431
20140926	291151	172949
20140927	292359	175456
20140928	294020	177962
20140929	295813	180344
20140930	296858	182380
