date	kowj	lien
20140422	0	0
20140423	0	0
20140424	0	0
20140425	0	0
20140426	0	0
20140427	0	0
20140428	0	0
20140429	0	0
20140430	0	0
20140501	0	0
20140502	0	0
20140503	0	0
20140504	0	0
20140505	433	412
20140506	473	756
20140507	590	1001
20140508	720	1050
20140509	683	1077
20140510	688	1094
20140511	732	945
20140512	785	620
20140513	681	371
20140514	502	399
20140515	1019	436
20140516	1139	437
20140517	1039	353
20140518	945	374
20140519	1003	376
20140520	1030	308
20140521	545	261
20140522	574	390
20140523	582	421
20140524	573	347
20140525	574	327
20140526	577	304
20140527	727	273
20140528	659	135
20140529	673	115
20140530	625	259
20140531	713	394
20140601	773	425
20140602	822	523
20140603	1201	697
20140604	1356	734
20140605	1496	595
20140606	1330	473
20140607	1360	444
20140608	1147	549
20140609	1262	433
20140610	1477	452
20140611	1898	600
20140612	2420	637
20140613	2591	688
20140614	3439	513
20140615	2990	482
20140616	2619	426
20140617	2075	294
20140618	1613	289
20140619	1392	434
20140620	859	685
20140621	988	1052
20140622	1163	1247
20140623	1254	1312
20140624	1316	1353
20140625	1352	1263
20140626	1084	1054
20140627	970	746
20140628	769	615
20140629	657	668
20140630	612	614
20140701	560	556
20140702	724	523
20140703	705	713
20140704	1151	949
20140705	1662	1128
20140706	1612	1276
20140707	1694	1368
20140708	1530	1501
20140709	1755	1468
20140710	1489	1325
20140711	1136	1154
20140712	1136	1070
20140713	1185	1192
20140714	1469	1351
20140715	1320	1270
20140716	1415	1156
20140717	1410	1137
20140718	1510	1154
20140719	1714	1168
20140720	1472	1020
20140721	1349	950
20140722	1208	1111
20140723	1338	1081
20140724	1486	1256
20140725	1157	1079
20140726	1174	955
20140727	1267	1111
20140728	1256	1157
20140729	1055	1390
20140730	806	1285
20140731	1132	1837
20140801	1738	2139
20140802	1901	2523
20140803	1953	2810
20140804	1892	2824
20140805	2050	2877
20140806	1841	2662
20140807	1173	2924
20140808	927	2756
20140809	830	2920
20140810	1004	3126
20140811	1005	3554
20140812	1056	3647
20140813	1187	4542
20140814	1291	4867
20140815	1421	4891
20140816	1514	4695
20140817	1535	4756
20140818	1482	4669
20140819	1414	4004
20140820	1327	3559
20140821	1275	3386
20140822	1085	3430
20140823	1012	3169
20140824	1027	3232
20140825	1099	3187
20140826	1277	3641
20140827	1379	3760
20140828	1646	3947
20140829	1681	4034
20140830	1770	4183
20140901	1485	3720
20140902	1529	3250
20140903	1608	3208
20140904	1746	3301
20140905	1779	3667
20140906	1670	3785
20140907	1944	3848
20140908	3021	4371
20140909	3132	4092
20140910	3303	4146
20140911	3405	4081
20140912	3813	4218
20140913	4593	4705
20140914	4251	4083
20140915	4639	4740
20140916	4716	4655
20140917	4851	4819
20140918	5897	5403
20140919	5769	6167
20140920	5589	7509
20140921	5511	7589
20140922	5127	8384
20140923	5194	9132
20140924	4111	8903
20140925	4286	8319
20140926	4185	7941
20140927	4264	7971
20140928	3972	6629
20140929	3954	4948
20140930	4173	4801
