date	post_count
2014081408	1962
2014081409	616
2014081410	481
2014081411	444
2014081412	364
2014081413	311
2014081414	287
2014081415	255
2014081416	164
2014081417	100
2014081418	32
2014081419	33
2014081420	20
2014081421	18
2014081422	34
2014081423	71
2014081500	77
2014081501	91
2014081502	68
2014081503	96
2014081504	71
2014081505	78
2014081506	60
2014081507	76
2014081508	57
2014081509	50
2014081510	45
2014081511	43
2014081512	59
2014081513	43
2014081514	61
2014081515	42
2014081516	44
2014081517	28
2014081518	13
2014081519	9
2014081521	10
2014081522	10
2014081523	17
2014081600	24
2014081601	31
2014081602	24
2014081603	25
2014081604	30
2014081605	17
2014081606	17
2014081607	24
2014081608	26
2014081609	15
2014081610	16
2014081611	15
2014081612	15
2014081613	24
2014081614	22
2014081615	18
2014081616	8
2014081617	4
2014081618	4
2014081619	5
2014081620	2
2014081621	0
2014081622	1
2014081623	2
2014081700	4
2014081701	3
2014081702	6
2014081703	5
2014081704	3
2014081705	7
2014081706	4
2014081707	2
2014081708	4
2014081709	1
2014081710	3
2014081711	2
2014081713	7
2014081714	3
2014081715	4
2014081716	2
2014081717	2
2014081718	0
2014081719	0
2014081721	2
2014081722	2
2014081723	2
2014081800	3
2014081801	2
2014081802	5
2014081803	3
2014081804	3
2014081805	7
2014081806	3
2014081807	2
2014081808	6
2014081809	4
2014081810	4
2014081811	0
2014081812	0
2014081813	6
2014081814	3
2014081815	3
2014081816	2
2014081817	1
